SampleID,g__Actinomyces;,g__Acinetobacter;,g__Lactobacillus;,g__Bacteroides;,g__Simplicispira;,g__Rothia;,g__Anaerococcus;,g__Staphylococcus;,g__Burkholderia;,g__Neisseria;,g__Corynebacterium;,g__Porphyromonas;,g__Aeromonas;,g__Streptococcus;,Unclassified,g__Stenotrophomonas;,g__Haemophilus;,g__Veillonella;,g__Macrococcus;,g__Leptotrichia;,g__Propionibacterium;,g__Prevotella;,g__Granulicatella;,g__Lautropia;,g__Chryseobacterium;,g__Peptoniphilus;,g__Pseudomonas;,g__Streptophyta_Group;,g__Gemella;,g__TM7;,g__Rhodococcus;,g__Bifidobacterium;,g__Enhydrobacter;,g__Massilia;,g__Brevundimonas;,g__Ralstonia;,g__Paracoccus;,g__Sphingomonas;,g__Amaricoccus;,g__Neisseriaceae_Group;
S_15277526,0,0.000414695,0,0.000111515,0,0,0.00150545,0.0387067,0,0,0.00561755,5.58E-05,0,0.000215595,0.000111515,6.97E-05,8.36E-05,0,0,0,0.885789,0.000250908,0,0,0,0,0.0047338,0,0.000111515,0,0.0576252,0.000446059,0.000111515,0,0.000195151,5.58E-05,0.000557573,6.97E-05,8.36E-05,0
S_15277527,0.000949148,0.00294314,0,0,0,0,0,0.00383738,0.000141196,0,0.0045078,0,0.00480065,0.00165042,3.14E-05,0.00029808,0.000329456,0,0,0,0.232973,0,0,0.000141196,0.000251014,0,0.0985043,0,0,0.000611848,0.636682,0,0.00106681,0,0.000282391,0.00125507,6.28E-05,0,0,0
S_15277528,0,0.000211326,1.52E-05,9.12E-05,0,9.12E-05,0,0.00242036,0,0,0.0026251,0,0.000197643,0.000141897,0,0.000101355,0,0,0,0,0.756516,0,0,0,0,0,0.0309661,0,9.12E-05,0,0.204606,0,0.000121626,9.12E-05,0.000212846,0.000395286,0.000121626,7.60E-05,0,0
S_15277529,0.00576613,0.016357,0.00228292,0,0.0289954,0.000729592,7.06E-05,0.502011,0.0096259,0.00228292,0.0111518,0.000917873,0.00135916,0.00399902,0.00141211,0.057167,0.00223584,0.00237706,0,0.000894338,0.266419,0.00103555,0.000494239,0.0012709,0.00546017,0.000188282,0.00319827,0.00550724,0,0.000753127,0.00644865,0,0.00305958,0.00457054,0.00181221,0.000400099,0.00397745,0.00251827,0,0.000176514
S_15277530,0.00270549,6.64E-05,0.000110602,0.000604907,0,8.51E-05,0.000306282,0.197925,5.10E-05,0.00125065,0.0141358,5.10E-05,0.000178665,0.00195212,0.000408376,0,0.00119961,0.0004339,0,0.000178665,0.768998,0.000440281,0.000153141,0.000306282,0,0.000178665,2.04E-05,0,0.000212696,0.000178665,0,0.000910339,0.000127618,1.53E-05,0,0.000102094,0.000204188,0,0,1.28E-05
S_15277531,0.00125265,0.00619278,0.000375795,0.00219214,0.00288109,0.00288109,0.00331952,0.0258296,0.00131528,0,0.0194787,0,0.00653465,0.00564527,0.00241135,0.000855977,0.00262012,0.00156581,0,0.00169108,0.0990219,0.00533628,0,0,0.00050106,0.000970803,0.71153,0,0.00294372,0,0.000876854,6.26E-05,0.000688957,0.000200424,0,0.0358884,0.000814222,0,0.00106475,0.000140923
S_15277532,0,0.000539573,0.00300176,0,5.95E-05,0.000168694,0,0.00618016,0,0.000327465,0.014086,8.93E-05,0.0010717,0.00112876,0.000267926,0,0.000297696,0.000119078,0,0,0.658056,0.000208387,0.000535852,5.95E-05,0.000178617,0,0.0376109,0.000178617,6.95E-05,0,0.268938,0.000238156,8.93E-05,0,0.000238156,0.000327465,0.000267926,0.000238156,8.93E-05,0
S_15277533,0.000290204,0.000210398,0.00106408,3.63E-05,0.000145102,0.00026602,0.00652959,0.113194,0,0.00174122,0.0101027,0.00444979,4.84E-05,0.00323336,0.00026602,4.84E-05,0.00107617,0.000120918,0,0.000362755,0.807492,0.00211607,0.000507857,4.84E-05,0,0.00805719,0.0250817,0,0.000878673,0.000290204,0.000181377,0,0.000918979,1.93E-05,0.000193469,0.00237,7.26E-05,0.000350663,7.26E-05,0
S_15277534,0.0059643,0.00119081,0.000204959,4.92E-05,0.000204959,0.00459108,0.00368926,0.0730719,0,0.00274645,0.0103094,0.00139372,0.000901819,0.0122128,8.20E-05,8.20E-05,0.00627174,0.00188562,0,0.000819835,0.208238,0.00113547,0.000819835,0.00155769,0.000204959,0,0.0981916,0.000491901,0.000833499,0.000122975,0.544207,0.00124342,0.000655868,0,0.00102479,0.000655868,0.000819835,0.000471405,0.000532893,0.0029719
S_15277535,0.000591696,0.000290398,0,8.30E-05,6.23E-05,0.000342561,0.000685122,0.00800347,6.23E-05,0.000716264,0.000368512,0.000124568,0.000490485,0.00305502,0,9.34E-05,0.00224222,0.000467128,9.34E-05,0,0.680046,0,0.000124568,0.000404845,9.34E-05,6.23E-05,0.0449813,0,0.000124568,0,0.251284,0.000186851,6.23E-05,0,0.000280277,0.000591696,0.000155709,0.000295848,0.000155709,0
S_15277536,0,9.03E-05,0.000286049,0,0,0,0,0.0140917,0,0,0.00667448,0,6.02E-05,0.000450151,0,0,0.000361325,0,0,6.02E-05,0.944594,0,6.02E-05,0,0,0,0.00484176,0,0,0,0.0266929,0,0,0,0,0.000120442,9.03E-05,4.52E-05,0,0.000888258
S_15277537,0.000262178,0.00142637,0.000355813,0.000280905,0,7.49E-05,7.49E-05,0.0050488,0,0,0.00194137,0,0.000805262,0.00124722,0.0018727,0.000262178,0,0.000299632,0,0.000337086,0.185023,0.000134835,0,0,0.000224724,5.62E-05,0.0978043,0.00037454,0,0,0.608254,0.000911382,0.0102624,0.000104871,0.000561811,0.000674173,0.0382406,0.00121726,0.000486902,0
S_15277538,6.70E-05,0.000275196,0.000145134,0.000502386,0,0.00013397,0.00926623,0.2742,6.70E-05,4.47E-05,0.0123326,0,0.00013397,0.00051355,0.000379581,0,0,0.000267939,0,0,0.443239,0.000142901,0,0.000156298,4.47E-05,0.000312596,0.0359738,0.000446565,0.000111641,0.000111641,0.216473,0.000751719,4.47E-05,8.04E-05,0.000111641,0.000468894,6.70E-05,7.81E-05,0,0
S_15277539,0.000308451,0.00079426,0.000529507,0.00137966,0,0,0,0.0994506,0,0.000154225,0.00149599,0,0.000370141,0.000573718,0.000586056,8.23E-05,0.00018507,6.17E-05,0,6.17E-05,0.765944,0.000104873,0.00012338,0,0,0,0.0179266,0.000154225,0.00012338,0.00012338,0.0894044,0.00519225,0,0.000251167,0.000339296,0.000154225,6.17E-05,0,6.17E-05,0.000115669
